iter	Logloss
0	0.6911859715
1	0.6899450857
2	0.6881632703
3	0.6867460427
4	0.6855974671
5	0.6843895878
6	0.683040159
7	0.681359149
8	0.6802165255
9	0.6791301754
10	0.6775066836
11	0.6759456337
12	0.6749488885
13	0.6734754414
14	0.6723234028
15	0.6712556122
16	0.670287112
17	0.6687830932
18	0.6678236833
19	0.6668629207
20	0.6658824082
21	0.6650070299
22	0.6640683979
23	0.6631678588
24	0.6622026592
25	0.6611669554
26	0.6602535383
27	0.6593544602
28	0.6585536984
29	0.6576878433
30	0.6568568345
31	0.6556157322
32	0.6548300128
33	0.6539788212
34	0.6532092264
35	0.6524529423
36	0.651658836
37	0.6509937259
38	0.6502837053
39	0.6491687315
40	0.648398325
41	0.6476527004
42	0.646972061
43	0.6461793615
44	0.6455044577
45	0.6448741399
46	0.6441867368
47	0.6435325027
48	0.6429304299
49	0.6423335515
50	0.6417867241
51	0.6412147901
52	0.6404010962
53	0.6398198554
54	0.638877544
55	0.6383146462
56	0.6377791817
57	0.6368899514
58	0.6359761015
59	0.6354372282
60	0.6349295217
61	0.6344397795
62	0.6339178424
63	0.6331029581
64	0.6324335193
65	0.6319955596
66	0.6311558392
67	0.6307068412
68	0.630188854
69	0.6296814181
70	0.6291596433
71	0.6286433876
72	0.6280784336
73	0.6275173755
74	0.6271033321
75	0.6267282472
76	0.6263420159
77	0.6259541072
78	0.6255309193
79	0.6251244511
80	0.6244301221
81	0.6237399054
82	0.6233612493
83	0.6227862852
84	0.6222640234
85	0.6218909947
86	0.6215509726
87	0.621214684
88	0.6208730928
89	0.6205110482
90	0.6198555696
91	0.6194840019
92	0.6190923055
93	0.6184754067
94	0.6181222902
95	0.6177888153
96	0.6174634568
97	0.61710125
98	0.6167347144
99	0.6164093018
100	0.615963875
101	0.6155747217
102	0.6152509324
103	0.6147282377
104	0.6142085731
105	0.6138847297
106	0.6132592817
107	0.6127224645
108	0.6124626863
109	0.6121762323
110	0.611653213
111	0.6113690315
112	0.6110598517
113	0.6108666819
114	0.6106046311
115	0.6100859946
116	0.6097428883
117	0.6094522679
118	0.6090056507
119	0.6087553417
120	0.6085623883
121	0.6083332359
122	0.6081492647
123	0.6078743901
124	0.6075782505
125	0.607088346
126	0.6068091967
127	0.6065954114
128	0.6063465091
129	0.606101611
130	0.6055647938
131	0.6053599905
132	0.6051774262
133	0.6049620175
134	0.6047373021
135	0.6046035442
136	0.6044175168
137	0.6042370086
138	0.6038252377
139	0.6036505192
140	0.6034030779
141	0.6032049842
142	0.6029816756
143	0.6028124762
144	0.6025659548
145	0.6023504379
146	0.6020592764
147	0.601864808
148	0.6016677965
149	0.6014572576
150	0.6009389458
151	0.600653087
152	0.6003758857
153	0.6001548497
154	0.599991494
155	0.5998222405
156	0.5996905388
157	0.5995007779
158	0.599328873
159	0.5991857001
160	0.5990400382
161	0.5988584478
162	0.5986220448
163	0.5982405209
164	0.598020026
165	0.5978049961
166	0.5974823972
167	0.5973221258
168	0.5971682934
169	0.5969834564
170	0.5968231309
171	0.5963299799
172	0.5959679894
173	0.5958064194
174	0.5956117346
175	0.5954098532
176	0.5952606201
177	0.5951047316
178	0.5949286062
179	0.5945373427
180	0.5943643556
181	0.5941225958
182	0.5939513944
183	0.5937999428
184	0.5936531987
185	0.5934745843
186	0.593342612
187	0.5932221649
188	0.5929022174
189	0.5927427035
190	0.5926065648
191	0.5924359585
192	0.5922753625
193	0.5921255342
194	0.5919794394
195	0.5917806422
196	0.5916003505
197	0.5914694062
198	0.5912193136
199	0.5910997323
200	0.5909852373
201	0.59081014
202	0.5906796286
203	0.5905148121
204	0.5901912392
205	0.590010785
206	0.5898721573
207	0.589728281
208	0.5895913848
209	0.5894674206
210	0.5893376668
211	0.5891718222
212	0.5888057195
213	0.5886759657
214	0.5886060566
215	0.5883300998
216	0.5880387759
217	0.5878958195
218	0.5875969745
219	0.5875360475
220	0.5873611126
221	0.5872321163
222	0.5868788915
223	0.5866241996
224	0.5865189573
225	0.5864462345
226	0.5861857529
227	0.586067362
228	0.5857886456
229	0.5855901732
230	0.5854870952
231	0.585352688
232	0.5852285074
233	0.5850497848
234	0.5848543424
235	0.5846125826
236	0.5844523112
237	0.5843741775
238	0.5842537305
239	0.5841687791
240	0.5840224679
241	0.5838896839
242	0.5836767102
243	0.5835828849
244	0.5834765603
245	0.583270242
246	0.5831102412
247	0.5829829223
248	0.5828093941
249	0.5826865122
250	0.5825070861
251	0.5822227424
252	0.5820848181
253	0.5819145906
254	0.5817300783
255	0.5815948595
256	0.5814759275
257	0.5813514222
258	0.58119272
259	0.5810847181
260	0.5809654074
261	0.5807654198
262	0.5805171128
263	0.5804232875
264	0.5802143719
265	0.5800134104
266	0.579901188
267	0.5797027155
268	0.5795529413
269	0.5794416928
270	0.5792760105
271	0.5790527019
272	0.5788061264
273	0.5786955272
274	0.5786146881
275	0.5785178868
276	0.5784340716
277	0.5782267253
278	0.578146319
279	0.5780603936
280	0.5779359425
281	0.5777623062
282	0.5775976519
283	0.5775168128
284	0.5774456592
285	0.5773294868
286	0.577268127
287	0.5771410787
288	0.5768209687
289	0.5766171395
290	0.5765333243
291	0.5763048754
292	0.57620407
293	0.5760915229
294	0.5759993749
295	0.5757098367
296	0.575607408
297	0.575500867
298	0.5750874188
299	0.5749208166
300	0.5747012957
301	0.5744778248
302	0.5743737187
303	0.5742680976
304	0.5741316342
305	0.5739978222
306	0.5738229954
307	0.5736262545
308	0.5734836768
309	0.5732798475
310	0.573182451
311	0.5730794271
312	0.5729364706
313	0.572823166
314	0.5726508283
315	0.5725003506
316	0.5723832043
317	0.5722572922
318	0.5721685531
319	0.5720671525
320	0.5719800909
321	0.5718776081
322	0.571781943
323	0.571682328
324	0.5715237881
325	0.5713994452
326	0.5712212096
327	0.5711055242
328	0.570993464
329	0.5709086208
330	0.5707695061
331	0.5706290928
332	0.5704812124
333	0.5703617935
334	0.5702613668
335	0.5701497396
336	0.5699622513
337	0.569885795
338	0.5698033867
339	0.569682128
340	0.5696177381
341	0.569466016
342	0.5693513045
343	0.5691574854
344	0.5689429966
345	0.5687572939
346	0.5686470735
347	0.5685517331
348	0.5684724632
349	0.5683724153
350	0.568168099
351	0.5680418623
352	0.5678824567
353	0.5677596829
354	0.5676379373
355	0.567520358
356	0.5673962316
357	0.5672989433
358	0.5671965687
359	0.5670621074
360	0.5669273214
361	0.5667840944
362	0.566636214
363	0.5665316751
364	0.5663773557
365	0.5662331006
366	0.5661324034
367	0.566059843
368	0.5659833326
369	0.5658081271
370	0.5657309674
371	0.5656270778
372	0.5655508921
373	0.5654550647
374	0.5652505861
375	0.5651841941
376	0.5650537369
377	0.5649298269
378	0.5647867622
379	0.5646509482
380	0.5645499804
381	0.5643878693
382	0.5642726168
383	0.5641730559
384	0.5640341035
385	0.563959
386	0.5638338454
387	0.5637329318
388	0.5636489002
389	0.5636147573
390	0.5634722338
391	0.5633749455
392	0.5632688915
393	0.5631362158
394	0.5630112777
395	0.5629156126
396	0.5627665418
397	0.5626735823
398	0.5625562194
399	0.562453899
400	0.5623253356
401	0.5621581382
402	0.5620525171
403	0.5619472747
404	0.5618447378
405	0.5617750452
406	0.5615544421
407	0.5614736029
408	0.5613367608
409	0.5611802771
410	0.5610645375
411	0.5609593493
412	0.5608978813
413	0.5608112525
414	0.5607245696
415	0.5606303114
416	0.5605015856
417	0.5603856296
418	0.5602786017
419	0.560172223
420	0.5600894901
421	0.5599703417
422	0.5598863101
423	0.5597620754
424	0.5595613304
425	0.5594278971
426	0.5593118871
427	0.5592543149
428	0.5591923058
429	0.5590808408
430	0.5589996771
431	0.558899034
432	0.5587536967
433	0.5586550016
434	0.5585266546
435	0.5584162178
436	0.5582767243
437	0.5581396658
438	0.5580090462
439	0.5578581898
440	0.5577589536
441	0.5576032273
442	0.5574512888
443	0.5573502128
444	0.5572176453
445	0.5571222508
446	0.5570382193
447	0.5569403899
448	0.5568490536
449	0.556759557
450	0.5566487414
451	0.5565486394
452	0.5564346855
453	0.5562880496
454	0.5561803723
455	0.5560649574
456	0.5559470535
457	0.5558459235
458	0.5557229333
459	0.5556348435
460	0.5555331183
461	0.5554636421
462	0.5553747948
463	0.5552617066
464	0.5551205899
465	0.5549783368
466	0.5548964697
467	0.5548047546
468	0.5547101176
469	0.5546248416
470	0.5544936809
471	0.5543870317
472	0.5542571156
473	0.5541687553
474	0.5540425727
475	0.5539692547
476	0.5538453447
477	0.55372901
478	0.5536475215
479	0.553545147
480	0.5533927755
481	0.5532723285
482	0.5531640019
483	0.5530613027
484	0.5529739705
485	0.5529041155
486	0.5528032019
487	0.5527106752
488	0.5525998596
489	0.552498459
490	0.552417674
491	0.5522682244
492	0.5520902052
493	0.5519849628
494	0.5518957368
495	0.5517977451
496	0.5517520228
497	0.5516709132
498	0.5515644804
499	0.5514203876
500	0.5513232076
501	0.5512409616
502	0.5511386411
503	0.5510693273
504	0.550964139
505	0.5508814602
506	0.5507866068
507	0.5506533359
508	0.5505707653
509	0.5504476128
510	0.550355519
511	0.5501736039
512	0.5500817265
513	0.5499916888
514	0.5499125812
515	0.5498331489
516	0.5497268785
517	0.5495060048
518	0.5493842592
519	0.5492373527
520	0.5491493171
521	0.5490485117
522	0.5489656705
523	0.5488531234
524	0.5487762343
525	0.5486682865
526	0.5485754892
527	0.5484738722
528	0.5484094282
529	0.5483255589
530	0.5482479664
531	0.548151165
532	0.5480882361
533	0.5479952765
534	0.5479054011
535	0.5478013492
536	0.5476910747
537	0.5475800426
538	0.5474854598
539	0.5473896324
540	0.5473043022
541	0.5472155632
542	0.5471182208
543	0.5470272632
544	0.5469209928
545	0.5468411818
546	0.5467527674
547	0.5466731728
548	0.5465451504
549	0.5464377978
550	0.5463480307
551	0.546212866
552	0.546132622
553	0.54607018
554	0.5459918299
555	0.5458678658
556	0.5457932493
557	0.5457503407
558	0.5456005665
559	0.5454597203
560	0.5453637306
561	0.545274234
562	0.5451715348
563	0.545077493
564	0.544947631
565	0.5448566193
566	0.5447670145
567	0.544587372
568	0.5444809934
569	0.5443562176
570	0.5442593081
571	0.5441689457
572	0.5440527192
573	0.54393514
574	0.543813719
575	0.5437336374
576	0.5436378641
577	0.5435467443
578	0.5434139603
579	0.5432895092
580	0.5432020688
581	0.5430752369
582	0.5429637178
583	0.5428926725
584	0.5428018773
585	0.5426794282
586	0.5425803002
587	0.5424580675
588	0.5423570457
589	0.5422904914
590	0.5421953134
591	0.5421114441
592	0.542019675
593	0.541919573
594	0.5417172046
595	0.5416412354
596	0.5414845893
597	0.5413788058
598	0.5413009427
599	0.5412189132
600	0.5411176208
601	0.5410137312
602	0.5408873862
603	0.5407614742
604	0.5406562859
605	0.540577503
606	0.5405291835
607	0.5404901166
608	0.5404200994
609	0.5402190837
610	0.5401315892
611	0.5400341927
612	0.5399366338
613	0.5398496804
614	0.5397548811
615	0.5396605147
616	0.5395173959
617	0.5394314705
618	0.5393616156
619	0.5392860791
620	0.5390860916
621	0.538980254
622	0.5388920561
623	0.5387749638
624	0.5386629578
625	0.5385291999
626	0.538435591
627	0.5383569163
628	0.5382117955
629	0.538121379
630	0.538006884
631	0.5379272894
632	0.5378402818
633	0.5377254621
634	0.5375638921
635	0.5374466375
636	0.537266454
637	0.5372022805
638	0.5370450933
639	0.5369533241
640	0.5368742706
641	0.5367667557
642	0.5366708742
643	0.5365841913
644	0.5364824119
645	0.5363687826
646	0.536295627
647	0.5362199824
648	0.5361146859
649	0.5360212394
650	0.5359242757
651	0.5358176265
652	0.5357015623
653	0.5356369019
654	0.535539343
655	0.5354224672
656	0.5353166296
657	0.5352080325
658	0.5351028983
659	0.5350082614
660	0.5349443584
661	0.5348709864
662	0.5348035664
663	0.5346871775
