"StichtagDatJahr","StichtagDatMonat","RaumeinheitSort","RaumeinheitLang","GliederungSort","GliederungLang","ZimmerSort","ZimmerLang","GemeinnuetzigSort","GemeinnuetzigLang","EinheitSort","EinheitLang","PreisartSort","PreisartLang","mean","meanl","meanu","qu25","qu25l","qu25u","qu50","qu50l","qu50u","qu75","qu75l","qu75u","Domain","Sample1","Sample2"
2022,"2022.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",3383,3252,3514,3071,2829,3314,3354,3165,3510,3543,3506,3629,617,144,21
2024,"2024.04",1,"Ganze Stadt",1,"Neubau bis 2 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",3523,3342,3704,3318,2813,3481,3481,3402,3579,3861,3500,4510,508,61,26
2022,"2022.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",930,913,947,695,679,715,859,837,894,1083,1051,1121,1924,1174,103
2024,"2024.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",980,960,999,728,714,751,891,874,925,1137,1108,1172,1976,1258,82
2022,"2022.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1018,989,1048,742,723,763,918,893,945,1187,1150,1218,3520,2205,74
2024,"2024.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1076,1057,1094,779,762,812,970,946,996,1308,1251,1351,3779,2504,95
2022,"2022.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1333,1311,1355,995,927,1025,1236,1217,1270,1592,1544,1644,1567,937,49
2024,"2024.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1433,1399,1468,1081,1050,1123,1357,1300,1402,1731,1625,1826,1665,1014,66
2022,"2022.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1729,1696,1762,1400,1382,1430,1600,1560,1690,2050,1974,2116,11258,1892,370
2024,"2024.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",1824,1796,1851,1428,1395,1459,1732,1684,1769,2112,2052,2187,10824,2203,560
2022,"2022.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",2037,1989,2086,1572,1518,1610,1943,1870,2000,2360,2300,2450,13397,2104,347
2024,"2024.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",2205,2168,2242,1716,1650,1757,2090,2028,2123,2550,2460,2620,12682,2242,471
2022,"2022.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",2570,2499,2640,1920,1870,1980,2421,2317,2590,3070,2950,3189,5418,908,239
2024,"2024.04",1,"Ganze Stadt",2,"Neubezug bis 2 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"netto",2706,2641,2772,2024,1979,2117,2560,2500,2690,3213,3084,3350,5142,898,348
2022,"2022.04",1,"Ganze Stadt",3,"Bestand Mietverträge 3-10 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",962,948,977,737,724,750,903,885,913,1125,1111,1155,4894,3127,218
2024,"2024.04",1,"Ganze Stadt",3,"Bestand Mietverträge 3-10 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1030,1015,1045,801,785,816,974,961,991,1192,1165,1221,5113,3320,217
2022,"2022.04",1,"Ganze Stadt",3,"Bestand Mietverträge 3-10 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1079,1066,1093,790,781,808,998,990,1024,1288,1262,1311,9305,5902,269
2024,"2024.04",1,"Ganze Stadt",3,"Bestand Mietverträge 3-10 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1148,1138,1159,867,853,886,1081,1062,1105,1338,1313,1380,9363,6111,261
2022,"2022.04",1,"Ganze Stadt",3,"Bestand Mietverträge 3-10 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1427,1412,1442,1087,1067,1116,1425,1400,1449,1711,1693,1733,6042,3709,243
2024,"2024.04",1,"Ganze Stadt",3,"Bestand Mietverträge 3-10 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"netto",1515,1500,1530,1196,1177,1220,1488,1470,1509,1775,1751,1803,5895,3653,228
