StichtagDatJahr,StichtagDatMonat,RaumeinheitSort,RaumeinheitLang,GliederungSort,GliederungLang,ZimmerSort,ZimmerLang,GemeinnuetzigSort,GemeinnuetzigLang,EinheitSort,EinheitLang,PreisartSort,PreisartLang,mean,meanl,meanu,qu25,qu25l,qu25u,qu50,qu50l,qu50u,qu75,qu75l,qu75u,Domain,Sample1,Sample2
2024,2024.04,1,Ganze Stadt,1,Neubau bis 2 Jahre,2,2 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,2377.0,2272.0,2483.0,2100.0,2008.0,2202.0,2302.0,2202.0,2490.0,2693.0,2549.0,2849.0,1123,193,39
2022,2022.04,1,Ganze Stadt,1,Neubau bis 2 Jahre,3,3 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,2823.0,2626.0,3021.0,2534.0,2132.0,2685.0,2799.0,2634.0,3017.0,3130.0,2960.0,3287.0,1055,133,26
2024,2024.04,1,Ganze Stadt,1,Neubau bis 2 Jahre,3,3 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,2854.0,2725.0,2984.0,2609.0,2469.0,2677.0,2755.0,2686.0,2950.0,3091.0,2908.0,3289.0,1248,259,44
2022,2022.04,1,Ganze Stadt,1,Neubau bis 2 Jahre,4,4 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,3383.0,3252.0,3514.0,3071.0,2829.0,3314.0,3354.0,3165.0,3510.0,3543.0,3506.0,3629.0,617,144,21
2024,2024.04,1,Ganze Stadt,1,Neubau bis 2 Jahre,4,4 Zimmer,2,Nicht gemeinnützig,1,Wohnung,1,netto,3523.0,3342.0,3704.0,3318.0,2813.0,3481.0,3481.0,3402.0,3579.0,3861.0,3500.0,4510.0,508,61,26
2022,2022.04,1,Ganze Stadt,2,Neubezug bis 2 Jahre,2,2 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,930.0,913.0,947.0,695.0,679.0,715.0,859.0,837.0,894.0,1083.0,1051.0,1121.0,1924,1174,103
2024,2024.04,1,Ganze Stadt,2,Neubezug bis 2 Jahre,2,2 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,980.0,960.0,999.0,728.0,714.0,751.0,891.0,874.0,925.0,1137.0,1108.0,1172.0,1976,1258,82
2022,2022.04,1,Ganze Stadt,2,Neubezug bis 2 Jahre,3,3 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1018.0,989.0,1048.0,742.0,723.0,763.0,918.0,893.0,945.0,1187.0,1150.0,1218.0,3520,2205,74
2024,2024.04,1,Ganze Stadt,2,Neubezug bis 2 Jahre,3,3 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1076.0,1057.0,1094.0,779.0,762.0,812.0,970.0,946.0,996.0,1308.0,1251.0,1351.0,3779,2504,95
2022,2022.04,1,Ganze Stadt,2,Neubezug bis 2 Jahre,4,4 Zimmer,1,Gemeinnützig,1,Wohnung,1,netto,1333.0,1311.0,1355.0,995.0,927.0,1025.0,1236.0,1217.0,1270.0,1592.0,1544.0,1644.0,1567,937,49
